AS_ID,RES_TYPE,RES_ID,PNODE_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long,
AS_SP26,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,
AS_SP15,GEN,SYDRO_6_FCELL,SANYSDRO_6_N013,22740_SANYSDRO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,4836,32.545077,-117.069661,
AS_SP15,LOAD,SYDRO_6_LD32,SANYSDRO_6_N004,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591,
AS_SP26,LOAD,SYDRO_6_LD32,SANYSDRO_6_N004,22740_SANYSDRO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4838,32.562128,-117.026591,
AS_SP26,LOAD,SYDRO_6_LD31,SANYSDRO_6_N001,22740_SANYSDRO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4837,32.562157,-117.026397,
AS_SP15,LOAD,SYDRO_6_LD31,SANYSDRO_6_N001,22740_SANYSDRO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4837,32.562157,-117.026397,
AS_SP15,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,
AS_SP26,GEN,BORDER_6_UNITA1,CPBORDER_7_B1,22149_CPBORDER_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,371,32.566132,-116.944759,
AS_SP26,LOAD,BORDER_6_LD32,BORDER_6_N001,22076_BORDER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,369,32.566114,-116.944024,
AS_SP15,LOAD,BORDER_6_LD32,BORDER_6_N001,22076_BORDER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,369,32.566114,-116.944024,
AS_SP26,LOAD,BORDER_6_LD31,BORDER_6_N008,22076_BORDER _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,368,32.566568,-116.944387,
AS_SP15,LOAD,BORDER_6_LD31,BORDER_6_N008,22076_BORDER _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,368,32.566568,-116.944387,
AS_SP26,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,
AS_SP15,GEN,LARKSP_6_UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2,22M7_DB114,2022-07-28 0:00:00,2043,32.56745,-116.942317,
AS_SP26,GEN,LARKSP_6_UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,
AS_SP15,GEN,LARKSP_6_UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1,22M7_DB114,2022-07-28 0:00:00,2042,32.567447,-116.942233,
AS_SP15,LOAD,IMPBCH_6_LD30,IMPRLBCH_6_N004,22352_IMPRLBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1786,32.583522,-117.097331,
AS_SP26,LOAD,IMPBCH_6_LD30,IMPRLBCH_6_N004,22352_IMPRLBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1786,32.583522,-117.097331,
AS_SP15,LOAD,IMPBCH_6_LD32,IMPRLBCH_6_N001,22352_IMPRLBCH_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1787,32.583554,-117.097158,
AS_SP26,LOAD,IMPBCH_6_LD32,IMPRLBCH_6_N001,22352_IMPRLBCH_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1787,32.583554,-117.097158,
AS_SP26,LOAD,OTAY_6_LD32,OTAY_6_N014,22613_OTAY GEN_12.0_LD32,22M7_DB114,2022-07-28 0:00:00,2802,32.595153,-117.057824,
AS_SP15,LOAD,OTAY_6_LD32,OTAY_6_N014,22613_OTAY GEN_12.0_LD32,22M7_DB114,2022-07-28 0:00:00,2802,32.595153,-117.057824,
AS_SP15,LOAD,OTAY_6_LD33,OTAY_6_N001,22613_OTAY GEN_12.0_LD33,22M7_DB114,2022-07-28 0:00:00,2803,32.595173,-117.057762,
AS_SP26,LOAD,OTAY_6_LD33,OTAY_6_N001,22613_OTAY GEN_12.0_LD33,22M7_DB114,2022-07-28 0:00:00,2803,32.595173,-117.057762,
AS_SP15,GEN,OTAY_6_PL1X2,RAMCOOY_7_B1,22617_RAMCO_OY_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,2804,32.595394,-117.057922,
AS_SP26,GEN,OTAY_6_PL1X2,RAMCOOY_7_B1,22617_RAMCO_OY_13.8_GUA1,22M7_DB114,2022-07-28 0:00:00,2804,32.595394,-117.057922,
AS_SP15,LOAD,OTAYLK_6_LD1,OTAYLAKE_6_N001,22612_OTAYLAKE_69.0_LD1,22M7_DB114,2022-07-28 0:00:00,2799,32.595409,-117.057789,
AS_SP26,LOAD,OTAYLK_6_LD1,OTAYLAKE_6_N001,22612_OTAYLAKE_69.0_LD1,22M7_DB114,2022-07-28 0:00:00,2799,32.595409,-117.057789,
AS_SP15,LOAD,MNTGRY_6_LD30,MONTGMRY_6_N001,22516_MONTGMRY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2438,32.631748,-117.09953,
AS_SP26,LOAD,MNTGRY_6_LD30,MONTGMRY_6_N001,22516_MONTGMRY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2438,32.631748,-117.09953,
AS_SP26,LOAD,MNTGRY_6_LD31,MONTGMRY_6_N002,22516_MONTGMRY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2439,32.631726,-117.099715,
AS_SP15,LOAD,MNTGRY_6_LD31,MONTGMRY_6_N002,22516_MONTGMRY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2439,32.631726,-117.099715,
AS_SP26,LOAD,TLGCYN_1_LD40,TELECYN_1_N014,22852_TELECYN _138_LD40,22M7_DB114,2022-07-28 0:00:00,4911,32.637823,-117.016284,
AS_SP15,LOAD,TLGCYN_1_LD40,TELECYN_1_N014,22852_TELECYN _138_LD40,22M7_DB114,2022-07-28 0:00:00,4911,32.637823,-117.016284,
AS_SP26,LOAD,TLGCYN_1_LD41,TELECYN_1_N001,22852_TELECYN _138_LD41,22M7_DB114,2022-07-28 0:00:00,4912,32.637845,-117.015979,
AS_SP15,LOAD,TLGCYN_1_LD41,TELECYN_1_N001,22852_TELECYN _138_LD41,22M7_DB114,2022-07-28 0:00:00,4912,32.637845,-117.015979,
AS_SP15,LOAD,TLGCYN_1_LD42,TELECYN_1_N006,22852_TELECYN _138_LD42,22M7_DB114,2022-07-28 0:00:00,4913,32.638103,-117.016141,
AS_SP26,LOAD,TLGCYN_1_LD42,TELECYN_1_N006,22852_TELECYN _138_LD42,22M7_DB114,2022-07-28 0:00:00,4913,32.638103,-117.016141,
AS_SP26,LOAD,PRCTVY_1_LD42,PRCTRVLY_1_N001,22672_PRCTRVLY_138_LD42,22M7_DB114,2022-07-28 0:00:00,3658,32.665025,-116.986744,
AS_SP15,LOAD,PRCTVY_1_LD42,PRCTRVLY_1_N001,22672_PRCTRVLY_138_LD42,22M7_DB114,2022-07-28 0:00:00,3658,32.665025,-116.986744,
AS_SP26,LOAD,SWTWTR_6_LD30,SWEETWTR_6_N017,22820_SWEETWTR_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4826,32.658407,-117.091526,
AS_SP15,LOAD,SWTWTR_6_LD30,SWEETWTR_6_N017,22820_SWEETWTR_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4826,32.658407,-117.091526,
AS_SP26,LOAD,SWTWTR_6_LD31,SWEETWTR_6_N018,22820_SWEETWTR_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4827,32.658345,-117.091836,
AS_SP15,LOAD,SWTWTR_6_LD31,SWEETWTR_6_N018,22820_SWEETWTR_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4827,32.658345,-117.091836,
AS_SP26,LOAD,NATCTY_6_LD20,NATNLCTY_6_N001,22548_NATNLCTY_69.0_LD20,22M7_DB114,2022-07-28 0:00:00,2579,32.673108,-117.107253,
AS_SP15,LOAD,NATCTY_6_LD20,NATNLCTY_6_N001,22548_NATNLCTY_69.0_LD20,22M7_DB114,2022-07-28 0:00:00,2579,32.673108,-117.107253,
AS_SP26,LOAD,NATCTY_6_LD21,NATNLCTY_6_N005,22548_NATNLCTY_69.0_LD21,22M7_DB114,2022-07-28 0:00:00,2580,32.673077,-117.107435,
AS_SP15,LOAD,NATCTY_6_LD21,NATNLCTY_6_N005,22548_NATNLCTY_69.0_LD21,22M7_DB114,2022-07-28 0:00:00,2580,32.673077,-117.107435,
AS_SP26,LOAD,NSMTG_6_LD-E,NAVSTMTR_6_N011,22556_NAVSTMTR_69.0_LDE,22M7_DB114,2022-07-28 0:00:00,2643,32.670408,-117.114853,
AS_SP15,LOAD,NSMTG_6_LD-E,NAVSTMTR_6_N011,22556_NAVSTMTR_69.0_LDE,22M7_DB114,2022-07-28 0:00:00,2643,32.670408,-117.114853,
AS_SP26,LOAD,NSMTG_6_LD-W,NAVSTMTR_6_N001,22556_NAVSTMTR_69.0_LDW,22M7_DB114,2022-07-28 0:00:00,2644,32.670422,-117.114581,
AS_SP15,LOAD,NSMTG_6_LD-W,NAVSTMTR_6_N001,22556_NAVSTMTR_69.0_LDW,22M7_DB114,2022-07-28 0:00:00,2644,32.670422,-117.114581,
AS_SP26,LOAD,DIVSON_6_LD30,DIVISION_6_N009,22172_DIVISION_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1011,32.681533,-117.120064,
AS_SP15,LOAD,DIVSON_6_LD30,DIVISION_6_N009,22172_DIVISION_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1011,32.681533,-117.120064,
AS_SP15,LOAD,DIVSON_6_LD31,DIVISION_6_N001,22172_DIVISION_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1012,32.68166,-117.120133,
AS_SP26,LOAD,DIVSON_6_LD31,DIVISION_6_N001,22172_DIVISION_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1012,32.68166,-117.120133,
AS_SP15,GEN,DIVSON_6_NSQF,NSCOGEN_7_B1,22552_NSCOGEN _12.5_GU1,22M7_DB114,2022-07-28 0:00:00,1013,32.681524,-117.120218,
AS_SP26,GEN,DIVSON_6_NSQF,NSCOGEN_7_B1,22552_NSCOGEN _12.5_GU1,22M7_DB114,2022-07-28 0:00:00,1013,32.681524,-117.120218,
AS_SP15,LOAD,PARDSE_6_LD31,PARADISX_6_N004,22636_PARADISX_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2859,32.704444,-117.049884,
AS_SP26,LOAD,PARDSE_6_LD31,PARADISX_6_N004,22636_PARADISX_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2859,32.704444,-117.049884,
AS_SP15,GEN,SAMPSN_6_KELCO1,SAMPSON_6_N010,22704_SAMPSON _12.5_GUKC,22M7_DB114,2022-07-28 0:00:00,3873,32.694468,-117.142444,
AS_SP26,GEN,SAMPSN_6_KELCO1,SAMPSON_6_N010,22704_SAMPSON _12.5_GUKC,22M7_DB114,2022-07-28 0:00:00,3873,32.694468,-117.142444,
AS_NP26,LOAD,CORONA_1_LD1,CORONA_1_N001,31254_CORONA _115_LD1,22M7_DB114,2022-07-28 0:00:00,799,32.69877,-117.173458,
AS_NP15,LOAD,CORONA_1_LD1,CORONA_1_N001,31254_CORONA _115_LD1,22M7_DB114,2022-07-28 0:00:00,799,32.69877,-117.173458,
AS_SP15,LOAD,CRNRDO_6_LD31,CORONADO_6_N001,22144_CORONADO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,855,32.698934,-117.173276,
AS_SP26,LOAD,CRNRDO_6_LD31,CORONADO_6_N001,22144_CORONADO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,855,32.698934,-117.173276,
AS_SP26,LOAD,CRNRDO_6_LD32,CORONADO_6_N002,22144_CORONADO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,856,32.698682,-117.17337,
AS_SP15,LOAD,CRNRDO_6_LD32,CORONADO_6_N002,22144_CORONADO_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,856,32.698682,-117.17337,
AS_SP15,LOAD,NIMTG_6_LD-N,NOISLMTR_6_N004,22576_NOISLMTR_69.0_LDN,22M7_DB114,2022-07-28 0:00:00,2618,32.7025,-117.182161,
AS_SP26,LOAD,NIMTG_6_LD-N,NOISLMTR_6_N004,22576_NOISLMTR_69.0_LDN,22M7_DB114,2022-07-28 0:00:00,2618,32.7025,-117.182161,
AS_SP15,LOAD,NIMTG_6_LD-S,NOISLMTR_6_N009,22576_NOISLMTR_69.0_LDS,22M7_DB114,2022-07-28 0:00:00,2619,32.702364,-117.182081,
AS_SP26,LOAD,NIMTG_6_LD-S,NOISLMTR_6_N009,22576_NOISLMTR_69.0_LDS,22M7_DB114,2022-07-28 0:00:00,2619,32.702364,-117.182081,
AS_SP15,GEN,NIMTG_6_NICOGN,NOISLMTR_6_N015,22576_NOISLMTR_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2620,32.702352,-117.182378,
AS_SP26,GEN,NIMTG_6_NICOGN,NOISLMTR_6_N015,22576_NOISLMTR_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2620,32.702352,-117.182378,
AS_SP15,GEN,NIMTG_6_NIQF,NOISLMTR_6_N101,22576_NOISLMTR_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,2621,32.702489,-117.182422,
AS_SP26,GEN,NIMTG_6_NIQF,NOISLMTR_6_N101,22576_NOISLMTR_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,2621,32.702489,-117.182422,
AS_SP15,LOAD,STA B_6_LD30,B_6_N005,22024_B  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4719,32.714371,-117.169423,
AS_SP26,LOAD,STA B_6_LD30,B_6_N005,22024_B  _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4719,32.714371,-117.169423,
AS_SP26,LOAD,STA B_6_LD31,B_6_N003,22024_B  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4720,32.714128,-117.169389,
AS_SP15,LOAD,STA B_6_LD31,B_6_N003,22024_B  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4720,32.714128,-117.169389,
AS_SP15,LOAD,STA B_6_LD32,B_6_N007,22024_B  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4721,32.714373,-117.169644,
AS_SP26,LOAD,STA B_6_LD32,B_6_N007,22024_B  _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4721,32.714373,-117.169644,
AS_SP15,LOAD,STA B_6_LD33,B_6_N001,22024_B  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,4722,32.714371,-117.169423,
AS_SP26,LOAD,STA B_6_LD33,B_6_N001,22024_B  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,4722,32.714371,-117.169423,
AS_SP26,LOAD,URBAN_6_LD31,URBAN_6_N005,22868_URBAN  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,5012,32.713308,-117.151611,
AS_SP15,LOAD,URBAN_6_LD31,URBAN_6_N005,22868_URBAN  _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,5012,32.713308,-117.151611,
AS_SP15,LOAD,URBAN_6_LD33,URBAN_6_N001,22868_URBAN  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,5014,32.713308,-117.151331,
AS_SP26,LOAD,URBAN_6_LD33,URBAN_6_N001,22868_URBAN  _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,5014,32.713308,-117.151331,
AS_SP26,LOAD,KETTNR_6_LD31,KETTNER_6_N001,22380_KETTNER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1934,32.733236,-117.173864,
AS_SP15,LOAD,KETTNR_6_LD31,KETTNER_6_N001,22380_KETTNER _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1934,32.733236,-117.173864,
AS_SP26,LOAD,CBRLLO_6_LD30,CABRILLO_6_N001,22092_CABRILLO_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,574,32.707366,-117.244947,
AS_SP15,LOAD,CBRLLO_6_LD30,CABRILLO_6_N001,22092_CABRILLO_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,574,32.707366,-117.244947,
AS_SP15,LOAD,CBRLLO_6_LD31,CABRILLO_6_N004,22092_CABRILLO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,575,32.707403,-117.245219,
AS_SP26,LOAD,CBRLLO_6_LD31,CABRILLO_6_N004,22092_CABRILLO_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,575,32.707403,-117.245219,
AS_SP15,GEN,CBRLLO_6_PLSTP1,CABRILLO_6_N011,22092_CABRILLO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,576,32.707502,-117.245154,
AS_SP26,GEN,CBRLLO_6_PLSTP1,CABRILLO_6_N011,22092_CABRILLO_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,576,32.707502,-117.245154,
AS_NP26,LOAD,CABRIL_1_LD1,CABRILLO_1_N001,36294_CABRILLO_115_LD1,22M7_DB114,2022-07-28 0:00:00,462,32.707502,-117.244949,
AS_SP15,LOAD,CABRIL_1_LD1,CABRILLO_1_N001,36294_CABRILLO_115_LD1,22M7_DB114,2022-07-28 0:00:00,462,32.707502,-117.244949,
AS_SP15,GEN,PTLOMA_6_NTCCGN,POINTLMA_6_N021,22660_POINTLMA_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,3686,32.741591,-117.233583,
AS_SP26,GEN,PTLOMA_6_NTCCGN,POINTLMA_6_N021,22660_POINTLMA_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,3686,32.741591,-117.233583,
AS_SP15,GEN,PTLOMA_6_NTCQF,POINTLMA_6_N001,22660_POINTLMA_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,3687,32.741645,-117.233322,
AS_SP26,GEN,PTLOMA_6_NTCQF,POINTLMA_6_N001,22660_POINTLMA_69.0_GUQF,22M7_DB114,2022-07-28 0:00:00,3687,32.741645,-117.233322,
AS_SP26,LOAD,PTLOMA_6_LD30,POINTLMA_6_N013,22660_POINTLMA_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,3683,32.741447,-117.233264,
AS_SP15,LOAD,PTLOMA_6_LD30,POINTLMA_6_N013,22660_POINTLMA_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,3683,32.741447,-117.233264,
AS_SP26,LOAD,PTLOMA_6_LD31,POINTLMA_6_N014,22660_POINTLMA_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,3684,32.741431,-117.233499,
AS_SP15,LOAD,PTLOMA_6_LD31,POINTLMA_6_N014,22660_POINTLMA_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,3684,32.741431,-117.233499,
AS_SP15,LOAD,PACBCH_6_LD30,PACFCBCH_6_N001,22620_PACFCBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2817,32.799242,-117.240199,
AS_SP26,LOAD,PACBCH_6_LD30,PACFCBCH_6_N001,22620_PACFCBCH_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2817,32.799242,-117.240199,
AS_SP26,LOAD,PACBCH_6_LD31,PACFCBCH_6_N004,22620_PACFCBCH_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2818,32.799203,-117.24035,
AS_SP15,LOAD,PACBCH_6_LD31,PACFCBCH_6_N004,22620_PACFCBCH_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2818,32.799203,-117.24035,
AS_SP15,LOAD,OLDTWN_6_LD31,OLDTOWN_6_N001,22592_OLD TOWN_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2730,32.766227,-117.192417,
AS_SP26,LOAD,OLDTWN_6_LD31,OLDTOWN_6_N001,22592_OLD TOWN_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2730,32.766227,-117.192417,
AS_SP26,LOAD,SPNGVY_6_LD30,SPRNGVLY_6_N001,22796_SPRNGVLY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4701,32.739049,-117.00266,
AS_SP15,LOAD,SPNGVY_6_LD30,SPRNGVLY_6_N001,22796_SPRNGVLY_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4701,32.739049,-117.00266,
AS_SP15,LOAD,SPNGVY_6_LD31,SPRNGVLY_6_N010,22796_SPRNGVLY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4702,32.739041,-117.002856,
AS_SP26,LOAD,SPNGVY_6_LD31,SPRNGVLY_6_N010,22796_SPRNGVLY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4702,32.739041,-117.002856,
AS_SP26,LOAD,JMACHA_6_LD30,JAMACHA_6_N015,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1867,32.744049,-116.95742,
AS_SP15,LOAD,JMACHA_6_LD30,JAMACHA_6_N015,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1867,32.744049,-116.95742,
AS_SP26,LOAD,JMACHA_6_LD31,JAMACHA_6_N006,22364_JAMACHA _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,1868,32.744039,-116.95708,
AS_SP26,LOAD,JMACHA_6_LD31,JAMACHA_6_N006,22364_JAMACHA _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,1868,32.744039,-116.95708,
AS_SP26,LOAD,JMACHA_6_LD32,JAMACHA_6_N001,22364_JAMACHA _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1869,32.744259,-116.9573,
AS_SP15,LOAD,JMACHA_6_LD32,JAMACHA_6_N001,22364_JAMACHA _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,1869,32.744259,-116.9573,
AS_SP26,LOAD,CHOLLS_6_LD31,CHOLLAS_6_N001,22132_CHOLLAS _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,659,32.74388,-117.046828,
AS_SP15,LOAD,CHOLLS_6_LD31,CHOLLAS_6_N001,22132_CHOLLAS _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,659,32.74388,-117.046828,
AS_SP15,LOAD,CHOLLS_6_LD32,CHOLLAS_6_N009,22132_CHOLLAS _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,660,32.743722,-117.046944,
AS_SP26,LOAD,CHOLLS_6_LD32,CHOLLAS_6_N009,22132_CHOLLAS _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,660,32.743722,-117.046944,
AS_SP15,LOAD,CHOLLS_6_LD33,CHOLLAS_6_N008,22132_CHOLLAS _69.0_LD20,22M7_DB114,2022-07-28 0:00:00,661,32.74369,-117.046676,
AS_SP26,LOAD,CHOLLS_6_LD33,CHOLLAS_6_N008,22132_CHOLLAS _69.0_LD20,22M7_DB114,2022-07-28 0:00:00,661,32.74369,-117.046676,
AS_SP26,LOAD,STRMVW_6_LD30,STREAMVW_6_N001,22800_STREAMVW_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4778,32.745635,-117.078586,
AS_SP15,LOAD,STRMVW_6_LD30,STREAMVW_6_N001,22800_STREAMVW_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4778,32.745635,-117.078586,
