OBJECTID,ID,TYPE,STATUS,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,OWNER,VOLTAGE,VOLT_CLASS,INFERRED,SUB_1,SUB_2,SHAPE__Len
"90665","310561","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,UNKNOWN308179,CRESTWOOD,2226.438227114429992
"90725","310607","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,PALOMAR,SYCAMORE CANYON,44361.804119558801176
"90739","310625","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MIGUEL,BORDER,20463.362895207399561
"90741","310627","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MIGUEL,JAMACHA TAP,10485.622708828399482
"90901","310814","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,2017/01/01,IMAGERY/OTHER,2017/01/01,AZUSA LIGHT & POWER,115.000000000000000,100-161,N,STENT TAP,STENT,40.723272644852401
"90952","310875","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2019/01/22,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,NOT AVAILABLE,PENASQUITOS,22008.752824957500707
"90976","310903","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,PROCTOR VALLEY,MIGUEL,2617.818259655969996
"90981","310906","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SILVERGATE,URBAN,3689.063956130400129
"91043","310978","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,BOULDER CREEK,NOT AVAILABLE,24377.642045127104211
"91095","311048","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,NOT AVAILABLE,RINCON,20784.093712388199492
"91403","311438","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SANTEE,LOS COCHES,13078.316667130600763
"91429","311481","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,ALPINE,NOT AVAILABLE,17486.380541964801523
"91435","311485","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,EL CAJON,EL CAJON,55.550971573743702
"91471","311531","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,OCEANSIDE,SAN LUIS REY,11854.503387693799596
"91504","311572","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Day1-November19-20_2014StakeholderMeeting.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,LOS COCHES,ALPINE,15393.412048637699627
"91619","311713","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/2b5d/2b5db469fef0.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MISSION,KEARNY,9884.128873466970617
"91644","311738","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,STUART,OCEANSIDE,9945.268981090870511
"91746","311885","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.cpuc.ca.gov/environment/info/aspen/miguel_mission/deir/text/B%20Project%20Description.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,MIGUEL,LOS COCHES,29957.091322937398218
"91862","312012","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MISSION,STATION F,4035.783918338780040
"91873","312024","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Day1-November19-20_2014StakeholderMeeting.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,EL CAJON,GARFIELD,2788.829624068090197
"92000","312182","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-Draft2013-2014TransmissionPlanStakeholderMeetingFeb12_2014.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,FELICIA,BERNARDO,12429.363522518200625
"92039","312229","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,2017/01/01,IMAGERY/OTHER,2017/01/01,AZUSA LIGHT & POWER,115.000000000000000,100-161,N,PECHANGA,MORAGA,10790.965737083099157
"92079","312277","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,TAP302772,CAMERON,9131.475487387719113
"92085","312281","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,CRESTWOOD,BOULEVARD,11867.600885765299608
"92131","312340","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,500.000000000000000,"500",N,EAST COUNTY,MIGUEL,102101.242657576003694
"92237","312471","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2019/01/22,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MESA HEIGHTS,KEARNY,3367.116723749640187
"92271","312516","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SANTA YSABEL,NOT AVAILABLE,27424.094288210799277
"92303","312554","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-Draft2013-2014TransmissionPlanStakeholderMeetingFeb12_2014.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SAN MARCOS,ESCONDIDO,11028.652961377900283
"92325","312575","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,OLD TOWN,MISSION,7283.823346286879314
"92346","312608","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Day1-November19-20_2014StakeholderMeeting.pdf,2017/01/01,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,EL CAJON,LOS COCHES,15481.596004569399156
"92418","312701","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,OTAY MESA,MIGUEL,17022.048945046000881
"92428","312715","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,SUNCREST,SYCAMORE CANYON,52434.273236277796968
"92488","312795","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2019/01/22,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,EASTGATE,NOT AVAILABLE,5128.259089574359677
"92509","312821","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/SDGE_2012-2013ProposedSolutions.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,OTAY TAP,SAN YSIDRO,7067.972921061030320
"92513","312826","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2019/01/22,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,TELEGRAPH CANYON,PROCTOR VALLEY,5030.532337045109671
"92617","312938","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,NATIONAL CITY,SWEETWATER,3557.312559326840528
"92645","313013","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,PENASQUITOS,ENCINA,35003.842710716700822
"92650","313009","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SYCAMORE CANYON,CREELMAN,29567.639361606401508
"92664","312990","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.cpuc.ca.gov/environment/info/aspen/sunrise/feir/cmts/E0004%20attachments/E4_Att01%20Existing%20ROW%20map.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SPRING VALLEY,CHOLLAS,5642.348000902179592
"92700","313046","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/Documents/Presentation-PreliminaryReliabilityAssessmentResults-Sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/08/22,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,NATIONAL CITY,TAP302696,2375.476429474780161
"92749","313110","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,MONSERATE,AVOCADO,10679.653249448299903
"92756","313118","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,TAP308169,TAP307975,3195.765934910270062
"92765","313135","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,PENASQUITOS,ENCINA,35012.870409276103601
"92828","313197","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,CARLTON HILLS TAP,SANTEE,10880.868825030400330
"92914","313303","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,2017/01/01,IMAGERY/OTHER,2017/01/01,AZUSA LIGHT & POWER,115.000000000000000,100-161,N,STENT TAP,MORAGA,4145.412357077059823
"92986","308280","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/04/25,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,TAP318024,PACIFIC BEACH,12713.842788864500108
"81132","305244","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,SANTIAGO,SAN ONOFRE,55011.803246678500727
"81756","312603","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/12/14,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,RANCHO MISSION VIEJO,TALEGA,12604.706476980400112
"81976","300176","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/12/14,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,MARGARITA,RANCHO MISSION VIEJO,6038.533987724619692
"82958","301295","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,SAN ONOFRE,SERRANO,77590.384543234802550
"84410","303013","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,BASILONE,JAPANESE MESA,4695.263130349249877
"84947","303678","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,TALEGA,SAN MATEO,7440.721819140079788
"85415","304254","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2019/01/08,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,TAP305222,CAPISTRANO,484.787743537423978
"86056","305028","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2018/10/19,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,SANTIAGO,SAN ONOFRE,55111.202766349597368
"87259","306455","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/12/13,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,TRABUCO,TAP305222,6678.493741010979647
"87853","307161","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/06/01,IMAGERY/OTHER,2018/12/14,SOUTHERN CALIFORNIA EDISON,66.000000000000000,UNDER 100,N,NIGUEL,RISER300066,9749.123070722769626
"89421","309027","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,TALEGA,SAN ONOFRE,13367.618119609800488
"89425","309031","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,TALEGA,SAN ONOFRE,13358.912651146800272
"89504","309120","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/06/01,IMAGERY/OTHER,2018/10/19,SOUTHERN CALIFORNIA EDISON,66.000000000000000,UNDER 100,N,NOT AVAILABLE,CHIQUITA,11507.708293122599571
"89794","309462","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Western Electricity Coordinating Council https://www.wecc.biz/Reliability/YEAR%202014%20OC%20MAP-1.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,230.000000000000000,220-287,N,VIEJO,SAN ONOFRE,45096.939144162999582
"90532","310392","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2019/01/22,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,NOT AVAILABLE,CAPISTRANO,7564.229887864120428
"90565","310419","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2017/01/01,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,SAN MATEO,BASILONE,3543.040481094270035
"90763","310654","AC; OVERHEAD",IN SERVICE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,2018/04/25,IMAGERY/OTHER,2018/12/13,SAN DIEGO GAS & ELECTRIC,138.000000000000000,100-161,N,LAGUNA NIGUEL,TAP305222,5172.744228084759925
"91023","310953","AC; OVERHEAD",NOT AVAILABLE,"221121",ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://www.caiso.com/documents/presentation-preliminaryreliabilityassessmentresults-sep26_2013.pdf,2017/01/01,IMAGERY/OTHER,2018/12/14,SAN DIEGO GAS & ELECTRIC,69.000000000000000,UNDER 100,N,CRISTIANITOS,TALEGA,1487.738581627849953
